ind,ch,bf,bf_deviation,isi_cv,sync_n,r_max,r,d_max,d,sfr,br,bdur_max,bdur,nspikes_burst_max,nspikes_burst,p_bursting_time,p_bursting_spike,ibi_cv,animal,group
4,9,12126,-18.39130435,0.902753073,17,0.028455089,0.010732861,0.399968178,0.070587279,0.798882682,0,,,,3.333333333,,,,U3,ENT
4,10,14929,2784.608696,1.023739741,15,0.020604709,0.009681657,0.300013804,0.026664545,0.888268156,0.022346369,0.18890752,0.1414144,4,3.25,0.003160098,0.081761006,0.674197266,U3,ENT
4,11,13929,1784.608696,1.021690027,15,0.03289542,0.012785399,0.199987959,0.053334371,0.899441341,0.022346369,0.2021376,0.17942528,3,3,0.004009503,0.074534161,0.354349603,U3,ENT
4,12,13929,1784.608696,0.977444096,16,0.020978867,0.011950146,0.199987959,0.068751352,0.921787709,0.027932961,0.2033664,0.146374656,3,3,0.004088678,0.090909091,0.979242164,U3,ENT
4,13,13929,1784.608696,1.072051933,15,0.028235913,0.010532804,0.199987959,0.060002245,0.810055866,0,,,,3,,,,U3,ENT
4,14,12126,-18.39130435,1.077381182,18,0.027168792,0.009153373,0.399968178,0.105554082,0.899441341,0.022346369,0.14471168,0.1270272,3,3,0.002838597,0.074534161,0.55329237,U3,ENT
4,15,14929,2784.608696,1.08744316,13,0.020604709,0.009875696,0.300013804,0.076927655,0.82122905,0.022346369,0.25014272,0.14626816,4,3.25,0.003268562,0.088435374,0.912768793,U3,ENT
4,16,12126,-18.39130435,1.299872405,20,0.035100538,0.010458049,0.399968178,0.119998762,0.921787709,0.005586592,0.08466432,0.08466432,4,4,0.000472985,0.024242424,,U3,ENT
4,17,9190,-2954.391304,0.968167919,14,0.020559545,0.009116306,0.799935138,0.385689305,0.910614525,0,,,,4,,,,U3,ENT
4,18,9190,-2954.391304,0.919619662,18,0.052221857,0.017272928,0.799935138,0.388866156,0.82122905,0,,,,4,,,,U3,ENT
4,19,9190,-2954.391304,1.044823584,15,0.022861804,0.010698564,0.799935138,0.353312544,0.770949721,0.011173184,0.26783744,0.24713216,4,3.5,0.002761253,0.050724638,,U3,ENT
4,20,9190,-2954.391304,0.97508362,11,0.021040824,0.011264285,0.699980765,0.22725787,0.849162011,0.027932961,0.1765376,0.107692032,3,3,0.003008157,0.098684211,1.155062575,U3,ENT
4,21,9190,-2954.391304,1.101858308,13,0.022861804,0.011941732,0.799935138,0.261522889,0.759776536,0,,,,3,,,,U3,ENT
4,22,9190,-2954.391304,0.828347091,16,0.040238601,0.012847192,0.799935138,0.374979308,0.938547486,0.016759777,0.18337792,0.1277952,3,3,0.002141819,0.053571429,0.098193594,U3,ENT
4,24,9190,-2954.391304,0.930352357,17,0.026595917,0.012947175,0.799935138,0.382329294,0.843575419,0.016759777,0.42921984,0.284603733,4,3.666666667,0.004769895,0.072847682,0.987372885,U3,ENT
4,25,8000,-4144.391304,1.029222092,18,0.052221857,0.012482397,1,0.594483736,0.988826816,0.016759777,0.17887232,0.162679467,3,3,0.002726472,0.050847458,0.441680671,U3,ENT
5,1,9190,486.4615385,0.9897457,12,0.016561233,0.010748669,0,0,0.648044693,0.016759777,0.25853952,0.19304448,3,3,0.003235382,0.077586207,0.691499641,U5,ET
5,2,11314,2610.461538,0.901574313,15,0.035610581,0.013588522,0,0,0.82122905,0.005586592,0.8112128,0.8112128,6,6,0.004531915,0.040816327,,U5,ET
5,3,10556,1852.461538,0.891390184,14,0.029132685,0.012989865,0.199926489,0.014280464,0.815642458,0.011173184,0.22528,0.21182464,3,3,0.002366756,0.04109589,,U5,ET
5,4,9849,1145.461538,1.000679831,15,0.02230585,0.010371586,0.20005992,0.019998154,0.720670391,0.011173184,0.24891392,0.21346304,4,3.5,0.002385062,0.054263566,,U5,ET
5,5,9849,1145.461538,0.963536005,17,0.024599991,0.013544829,0.20005992,0.023528612,0.748603352,0.011173184,0.50536448,0.47505408,5,4.5,0.005307867,0.067164179,,U5,ET
5,7,10556,1852.461538,0.999473199,19,0.023503591,0.012046021,0.199926489,0.026315816,0.74301676,0.011173184,0.59838464,0.3902464,5,4,0.004360295,0.060150376,,U5,ET
5,8,11314,2610.461538,1.046585287,20,0.038039302,0.013902299,0.299972309,0.040006899,0.810055866,0.039106145,0.21909504,0.140586423,4,3.142857143,0.005497793,0.151724138,0.65012034,U5,ET
5,9,9849,1145.461538,0.943079891,17,0.029589384,0.010786141,0.1000141,0.017643564,0.82122905,0.022346369,0.2168832,0.20143104,3,3,0.004501252,0.081632653,1.126860093,U5,ET
5,10,11314,2610.461538,0.99610406,10,0.031674659,0.013642503,0.20005992,0.060021148,0.748603352,0,,,,3,,,,U5,ET
5,11,11314,2610.461538,1.088064441,12,0.038039302,0.013473782,0.20005992,0.041680472,0.715083799,0.016759777,0.26300416,0.211653973,3,3,0.003547273,0.0703125,0.929771037,U5,ET
5,12,11314,2610.461538,0.996529626,10,0.01585573,0.009966621,0.299972309,0.040001813,0.731843575,0.011173184,0.2265088,0.21942272,3,3,0.002451651,0.045801527,,U5,ET
5,13,11314,2610.461538,1.036589026,12,0.023791278,0.014397498,0.20005992,0.025008812,0.715083799,0.011173184,0.27848704,0.182784,4,3.5,0.002042279,0.0546875,,U5,ET
5,14,11314,2610.461538,1.123005161,13,0.01568011,0.01041522,0.299972309,0.061549075,0.776536313,0,,,,3.5,,,,U5,ET
5,15,9849,1145.461538,1.011987827,11,0.01599394,0.009543779,0.20005992,0.090933444,0.74301676,0,,,,3.5,,,,U5,ET
5,17,6063,-2640.538462,1.019392425,10,0.024599991,0.009845589,0.900005349,0.40999069,0.620111732,0.005586592,0.03530752,0.03530752,3,3,0.000197249,0.027027027,,U5,ET
5,18,6063,-2640.538462,1.019167953,14,0.023258423,0.010609786,0.900005349,0.471416522,0.687150838,0.011173184,0.25878528,0.24674304,3,3,0.002756905,0.048780488,,U5,ET
5,19,6063,-2640.538462,0.972484501,18,0.023791278,0.01157124,0.900005349,0.427763881,0.726256983,0.022346369,0.24887296,0.1788416,3,3,0.00399646,0.092307692,0.78517344,U5,ET
5,20,6063,-2640.538462,0.971113385,15,0.021116976,0.012493018,0.900005349,0.546652139,0.810055866,0.016759777,0.402432,0.191542613,4,3.333333333,0.003210211,0.068965517,0.361127106,U5,ET
5,21,6063,-2640.538462,0.897036467,14,0.022691996,0.009642813,0.900005349,0.407139956,0.787709497,0,,,,3.333333333,,,,U5,ET
5,22,6063,-2640.538462,1.183220564,7,0.020964397,0.011325919,0.900005349,0.442836533,0.804469274,0.033519553,0.19816448,0.13400064,3,3,0.004491642,0.125,0.729447405,U5,ET
5,24,6964,-1739.538462,1.073357183,16,0.029589384,0.014940912,0.700120968,0.431285213,0.720670391,0.011173184,0.24981504,0.18354176,4,3.5,0.002050746,0.054263566,,U5,ET
5,25,6964,-1739.538462,1.071444227,14,0.017906309,0.010400951,0.700120968,0.37143165,0.575418994,0,,,,3.5,,,,U5,ET
5,26,6063,-2640.538462,0.941835792,12,0.022778142,0.00984143,0.900005349,0.391650542,0.776536313,0.016759777,0.24121344,0.209196373,3,3,0.003506084,0.064748201,0.706231074,U5,ET
5,27,6964,-1739.538462,1.076333583,10,0.021916935,0.010957348,0.700120968,0.420034301,0.798882682,0.011173184,0.41148416,0.29048832,4,4,0.00324568,0.055944056,,U5,ET
5,28,6063,-2640.538462,0.996649998,9,0.023258423,0.010085437,0.900005349,0.422211753,0.765363128,0.011173184,0.79990784,0.50845696,5,4.5,0.005681083,0.065693431,,U5,ET
5,29,8000,-703.5384615,1.048176316,0,,,,,2.826815642,0.05027933,0.06721536,0.052792889,3,3,0.002654391,0.053359684,0.730463855,U5,ET
